,PNT_OF_INT,DESCRPTION,SOCIAL_MED,WEBSITE,CATEGORY,LOCATION,X,Y,LONGITUDE,LATITUDE,OBJECTID,RID,geometry
10,Birch Forest (Mural),This Mural Routes project was painted in 2013. This is one of the murals created for the Birchcliff Community Mural Project. The initiative for the project came from members of the community who wanted to bring a sense of pride to the Birch Cliff neighbo,,,Public Art,1650 Kingston Road,323682.151,4838920.058,-79.2655718249,43.691997318,75146.0,11,POINT (-79.2655718248791 43.6919973180227)
11,Creekside (Mural),"Creekside, also known as the ""Eastern Gateway- mural is one of the signature projects of Cultural Hotspot -East. The bright and beautiful mural is a permanent piece of public art created to welcome visitors entering south Scarborough from the east. The n",,,Public Art,"-79.171796,43.782407",331201.622,4848990.598,-79.171796,43.782407,103343.0,12,POINT (-79.171796 43.782407)
12,Torso (Sculpture),Torso is a bulging nude cast-concrete female figure by John Ivor Smith. The figure is cut off at the knees and with the barest stumps for arms.,,,Public Art,2075 Lawrence Ave E,321438.32,4844830.524,-79.2932245847,43.745252102,75149.0,13,POINT (-79.2932245847462 43.7452521020038)
13,Bluffs Gallery,"The Bluffs Gallery is an intimate, community space featuring work by local and emerging artists. Located inside the Scarborough Arts building the gallery hosts groupp and solo exhibitions and features a range of fine arts and crafts. The gallery is also",,,Creative,1859 Kingston Road,324227.848,4839300.024,-79.2587886605,43.695403262,75150.0,14,POINT (-79.2587886604676 43.6954032619519)
14,Enrico's Pizza,"Enrico's Pizza is a much loved place in the neighbourhood, known as the place where the pizza tastes ""really home made"".",,http://enricos-pizza.com/,Business,1736 Kingston Road,323924.477,4839044.576,-79.2625614127,43.6931117795,75151.0,15,POINT (-79.26256141267839 43.6931117794859)
15,Arts Beyond the Road (Mural),"The mural was created for May 10, Arts on the Road: The Kingston Road Creative Walk 2014. R.H. King Academy Arts Management students worked together under the direction of artist Lauren Kuzyk to execute her design for a colourful and inclusive representa",,http://schools.tdsb.on.ca/rhking/,Public Art,"-79.23559879999998, 43.7227471",326087.113,4842344.462,-79.2355988,43.7227471,38880.0,16,POINT (-79.23559879999998 43.7227471)
16,Fibonacci Cadenza (Sculpture),The sculpture was created by Uga Drava. Installed in 1994. Material: Canadian Granite.,,,Public Art,"-79.257, 43.771462",324347.056,4847751.162,-79.257,43.771462,38881.0,17,POINT (-79.25700000000001 43.771462)
17,The Hand of God (Sculpture),"The sculpture was created by Carl Milles. It was donated in memory of Albert M. Campbell, the first mayor of Scarborough and Chairman of the Council of Metropolitan Toronto. It was dedicated in 1975. It symbolizes Campbell's philosophy that ""Man can best",,,Public Art,"-79.259,43.77146",324186.043,4847750.481,-79.259,43.77146,38922.0,18,POINT (-79.259 43.77146)
18,Ode to the Sun (Sculpture),The sculpture was created by Rob Schreefel. Installed in 1994. Material: Canadian Granite.,,,Public Art,"-79.258, 43.771462",324266.546,4847750.934,-79.258,43.771462,38883.0,19,POINT (-79.258 43.771462)
19,Lotus Catering & Fine Foods,International Cuisine. Offers take-out options and catering.,,,Business,1960 Lawrence Avenue East,321034.757,4844797.323,-79.2982363212,43.7449621858,38884.0,20,POINT (-79.2982363212486 43.7449621857572)
20,"Everyone has the right to life, liberty and security of person (Mural)","This mural was hosted by Parma Court, created in part of Project:Urban Canvas. The mural artist was from Working Women Community Centre.",,http://www.aito.ca/urbancanvas/mural_3.html,Public Art,30 Parma Crt,320878.491,4841686.897,-79.3002694663,43.7169676188,38885.0,21,POINT (-79.30026946626219 43.7169676187615)
21,Duckworth's Fish & Chips,"Established in 1930, Duckworth's is now a neighbourhood icon. It has two locations, one on Danforth and the other on Kingston Road.",,,Business,2282 Kingston Road,324740.619,4840414.489,-79.252382448,43.705412514,38940.0,22,POINT (-79.25238244800001 43.705412514)
22,Duckworth's Fish & Chips,"Established in 1930, Duckworth's is now a neighbourhood icon. It has two locations, one on Danforth and the other on Kingston Road.",,http://www.lenduckworthsfishandchips.com/,Business,2638 Danforth Avenue,320909.322,4838560.364,-79.2999796867,43.688824526,38941.0,23,POINT (-79.2999796867125 43.688824526032)
23,Ikki Sushi,"Ikki Sushi is a Japanese restaurant that serves a variety of Japanese food such as sushi, bento box, teriyaki, noodles and tempura. Menu is available online.",,http://www.ikkisushi.com/,Business,2328 Kingston Road,324807.576,4840554.214,-79.2515496297,43.7066770129,38942.0,24,POINT (-79.25154962971099 43.7066770129347)
24,King's Garden Sushi and Wok,King's Garden is a Japanese restaurant near the Bluffs that serves Japanese food including sushi.,,,Business,3103 Kingston Road,326565.324,4842838.374,-79.2296469327,43.7271879992,38943.0,25,POINT (-79.22964693265909 43.7271879992277)
25,Coalition Music,"Coalition Music help artists and industry professionals at all levels build sustainable careers within a trusted creative community of incubation, mentorship, education, networking and collaboration.",,http://coalitionent.com/,Creative,1731 Lawrence Avenue East,320235.36,4844476.317,-79.3081709664,43.742089779,75140.0,26,POINT (-79.3081709664163 43.742089779021)
26,Bridging Festival,"Bridging Festival is an annual festival that celebrates community, arts, culture and the environment to further ""bridge"" the different communities of southeast Scarborough, organized by Scarborough Arts.",,,Creative,"-79.20211,43.764853",328768.599,4847031.242,-79.20211,43.764853,37624.0,27,POINT (-79.20211 43.764853)
27,The Bridging Project (Mural),"The Bridging Project transformed an east Toronto six-lane traffic bridge on Lawrence Avenue East into the connector between the two neighbourhoods, bringing arts and environmental activities to the Kingston/Galloway/Orton Park community.",,http://www.muralroutes.com/towns/heritagetrail/youth.htm,Public Art,"-79.20211,43.764853",328768.599,4847031.242,-79.20211,43.764853,37625.0,28,POINT (-79.20211 43.764853)
28,Chesterton Shores Park,Chesterton Shores Park is located east of Port Union Village Common Park and west of the Rouge River on the shores of Lake Ontario. Enjoy a stroll along the waterfront or head west to the playground in Port Union Village Common Park. This area is a popul,,http://www1.toronto.ca/parks/prd/facilities/complex/2209/index.htm,Park,"-79.134593,43.774895",334199.756,4848168.471,-79.134593,43.774895,37626.0,29,POINT (-79.134593 43.774895)
29,Miller Lash House,"The Miller Lash Estate is nestled in the picturesque valley of the village of Highland Creek. Built by Miller Lash in 1914, the large, 17room, 150 foot long stone mansion was hidden away from public view until the 1960's. Miller Lash was a wealthy busine",,http://www.millerlashhouse.ca,Heritage,"-79.185406,43.780004",330107.14,4848719.428,-79.185406,43.780004,37627.0,30,POINT (-79.185406 43.780004)
30,Gallery 1265,"Gallery 1265 is committed to providing dedicated exhibition space and learning opportunities for student artists, curators and arts managers. Admission is free and all are welcome.",https://www.facebook.com/gallery1265,http://www.utsc.utoronto.ca/~gallery1265/,Creative,"-79.187648,43.783388",329925.277,4849094.729,-79.187648,43.783388,37628.0,31,POINT (-79.187648 43.783388)
31,Leigha Lee Browne Theatre,"The Leigha Lee Browne Theatre, named in honour of Leigha Lee Browne, an inspirational drama instructor at UTSC, has been a public performance venue since 1993. From concerts by world-renowned musicians to conversations about the connections between commu",,,Creative,"-79.189579,43.783752",329769.706,4849134.597,-79.189579,43.783752,37629.0,32,POINT (-79.18957899999999 43.783752)
32,"Community Spirit in Early Highland Creek, Winter 1867 (Mural)",This mural recreates a scene showing members of the Highland Creek community working together to build an addition to the Wesley Methodist Chapel in the early winter of 1867. The chapel once stood adjacent to the mural site amongst the tombstones of the,,http://www.muralroutes.com/towns/heritagetrail/heritage.htm,Public Art,"-79.169856,43.784111",331357.022,4849180.525,-79.169856,43.784111,37631.0,33,POINT (-79.169856 43.784111)
33,Art Side Out,"ARTSIDEOUT is a large scale, one-day, multi-disciplinary arts festival that celebrates arts and culture at UTSC in both physical and conceptual spaces. Involving the widest possible range of students from different programs and backgrounds, the event cel",,http://www.artsideout.ca/,Creative,"-79.18745,43.784604",329940.712,4849229.895,-79.18745,43.784604,37632.0,34,POINT (-79.18745 43.784604)
34,Secor Cairn (Memorial),Secor Cairn is the oldest monument in the City of Toronto Public Art collection.,,,Public Art,"-79.2224349975585,43.7547264099121",327135.913,4845900.589,-79.2224349976,43.7547264099,38800.0,35,POINT (-79.22243499755849 43.7547264099121)
35,Community Arts Guild,"The Community Arts Guild invite those who may not normally have the opportunity to participate, connects people, celebrates and discovers the traditions they bring along; and builds community through art-making.",,http://www.jumbliestheatre.org/,Creative,"-79.207706,43.757515",328320.913,4846214.434,-79.207706,43.757515,37614.0,36,POINT (-79.207706 43.757515)
36,McCowan Log House,"This cabin was built about 1830 in the northeast part of Scarborough and was moved to its present site by the Scarborough Historical Society in 1974.From 1848 until his death, it was occupied by William Porteous McCowan (1820-1902) who had come to Canada",,,Heritage,"-79.254642,43.757527",324541.47,4846203.564,-79.254642,43.757527,37615.0,37,POINT (-79.254642 43.757527)
37,Cornell House,"Built in 1858 in Scarborough Village, this was was inhabited for over 80 years by descendants of William Cornell. It remained in the Cornell family until 1944. In 1962, the house was moved to Thomson Memorial Park and furnished in the style of the late 1",,,Heritage,"-79.254768371582,43.7581710815429",324531.084,4846275.088,-79.2547683716,43.7581710815,37617.0,38,POINT (-79.254768371582 43.7581710815429)
38,Thomson Memorial Park,"A 41.8 heactare park at Lawrence Ave East and Brimley Rd follows the West Highland Creek. Many paths through the large wooded ravine of the creek allows visitors to experience nature in the city. The park also has a lighted ball diamond, lighted multi-pu",,http://www1.toronto.ca/parks/prd/facilities/complex/543/,Park,"-79.2549821,43.7592247",324513.531,4846392.089,-79.2549821,43.7592247,37618.0,39,POINT (-79.25498210000001 43.7592247)
39,Tabor Hill Ossuary (Memorial),This ossuary was uncovered when farm lands were developed into residential properties in 1956. This common grave contains the remains of approximately 472 persons.,,,Public Art,"-79.234471,43.759797",326164.885,4846460.753,-79.234471,43.759797,37619.0,40,POINT (-79.234471 43.759797)
40,St. Andrews Presbyterian Church Cemetery,St. Andrews Church and Cemetery area is a beautiful historical area of Scarborough. The church cemetery contains a history of early Scarborough; cemetery sit on land that was once part of the Thomson farm.,,http://www.standrewsscarborough.com/cemetary/,Heritage,"-79.252889,43.760321",324681.708,4846514.39,-79.252889,43.760321,37620.0,41,POINT (-79.252889 43.760321)
41,Centennial Library,"Centennial Library was built in 1896 to mark the 100th anniversary of the settlement  of the Township. In 1955, its members sponsored the institution of a free public library for all Scarborough, which continued to operate the ild library until the build",,,Heritage,"-79.251462, 43.760415",324796.578,4846525.176,-79.251462,43.760415,37884.0,42,POINT (-79.251462 43.760415)
42,St. Andrew's Sexton House,The St. Andrew's Sexton House is part of the St. andrew's Presbyterian Church. The church property forms a unique and valuable historic site within the City of Scarborough.,,,Heritage,"-79.2531433105468,43.7607383728027",324661.094,4846560.697,-79.2531433105,43.7607383728,37622.0,43,POINT (-79.2531433105468 43.7607383728027)
43,Lawrence Avenue Bridge,"Lawrence Avenue Bridge is a bridge over West Don River. Over the years, Scarborough Arts organized festivals celebrate community under the bridge. Mural Routes also worked with local youths to paint mural on the sides of the bridge.",,,Community,"-79.20211,43.764853",328768.599,4847031.242,-79.20211,43.764853,37623.0,44,POINT (-79.20211 43.764853)
44,A Sense of Place (Mural),"This mural was done by artist Frank Perna in 1997, assisted by Scott Clatney. This mural explores the concept of a sense of place for community groups in the natural world accessed through technology. The subject matter of the 6 main surfaces are from le",,,Public Art,"-79.263921,43.73217",323802.27,4843384.401,-79.263921,43.73217,37591.0,45,POINT (-79.263921 43.73217)
45,UDHR Article #27 (Mural),"Created in Summer 2008 by local youth, this mural symbolizes the evolution of community as it celebrates strength and diversity through creative participation.",,http://www.muralroutes.com/towns/heritagetrail/youth.htm,Public Art,"-79.216446,43.739794",327623.83,4844243.272,-79.216446,43.739794,37595.0,46,POINT (-79.216446 43.739794)
46,Russel Cornell Farm,"It is also known as Campbell Property. A historic Scarborough farm house, built in 1836 was owned by William Cornell, who settled here from Rhode Island in 1799. He helped construct the Kings Road which is present day Kingston Road, Highway 2.  Many of h",,,Heritage,"-79.2145690917968,43.7413215637207",327774.429,4844413.495,-79.2145690918,43.7413215637,37597.0,47,POINT (-79.2145690917968 43.7413215637207)
47,Shahab Plaza (Mural),"Created by artist Yannick Pickard, this mural was conceived as the companion mural to Sail On and Fair Well (2009). It was designed for the upper level of a neighbourhood plaza, and painted during the summer of 2010. The mural depicts aspects of the land",,http://www.muralroutes.com/towns/heritagetrail/fm_29.htm,Public Art,"-79.260737,43.7418",324055.684,4844454.944,-79.260737,43.7418,37598.0,48,POINT (-79.26073700000001 43.7418)
48,Diversity (Mural),"Like the branches of a tree, mingling with the roots of a mushroom, touched by the butterfly?s antenna and caressed by nature?s wind. Different elements and organisms co-existing to ensure life?s progression ? we too exist in this organic beauty.",,http://muralroutes.com/towns/heritagetrail/youth.htm,Public Art,"-79.220225,43.742515",327318.432,4844544.545,-79.220225,43.742515,37600.0,49,POINT (-79.220225 43.742515)
49,Osterhaut Cabin,The oldest building in Scarborough. Built in 1795 by Augustus Jones who was commissioned by John Graves Simcoe - first Lieutenant - Governor of Upper Canada - to survey Scarborough. William Osterhout later received the first crown grant of the land from,,,Heritage,"-79.193184,43.745173",329495.337,4844847.496,-79.193184,43.745173,37604.0,50,POINT (-79.193184 43.745173)
50,Guild Park and Gardens,"Toronto's Guild Park includes 88 acres of forest, shoreline, bluffs and formal gardens, plus a collection of architectural elements and sculptures preserved from city's downtown. These features tell a unique tale about Toronto and the people whose dreams",,http://guildpark.ca/,Park,"-79.191937,43.747874",329594.658,4845147.93,-79.191937,43.747874,37607.0,51,POINT (-79.191937 43.747874)
51,Guild Park & Gardens,"Guild Park was site of the innovative Guild of All Arts, a community association focused on improving, enhancing and pretoecing Guild Park and Gardens.",https://www.facebook.com/GuildPark,http://www.guildpark.ca,Creative,"-79.192632,43.748204",329538.55,4845184.385,-79.192632,43.748204,37608.0,52,POINT (-79.192632 43.748204)
52,Dawes Crossing by Noel Harding (Sculpture),"A covered bridge gathering natural resources (wind, sun, water) while contextualizing public usage and amenity. The structure silhouette reminds history as agriculture while the oak beam structure is iconic to our resource heritage. A signature toward co",https://www.facebook.com/dawescrossing,http://www.dawescrossing.ca/,Public Art,"-79.2951,43.706197",321297.726,4840492.284,-79.2951,43.706197,37582.0,53,POINT (-79.29510000000001 43.706197)
53,Bluffer's Park,"Bluffs stretch for about 15 km along the Lake Ontario shore, from the Eastern Beaches of Toronto in the west, to East Point Park in the east. The Scarborough Bluffs are a significant geological feature resulting from the accumulation of sedimentary depos",,https://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0519dada600f0410VgnVCM10000071d60f89RCRD,Park,"-79.236411,43.70626",326027.484,4840512.608,-79.236411,43.70626,37583.0,54,POINT (-79.236411 43.70626)
54,Cliffside Golf Course (Mural),"The Cliffside Golf Course was located south of Kingston Road and West of Midland Avenue with a beautiful view of Lake Ontario. Many a golf ball was lost over the Bluffs. Started in 1931 by George McCordick, when he converted an old farmhouse into a clubh",,http://www.muralroutes.com/towns/heritagetrail/heritage.htm,Public Art,"-79.2486190795898,43.7082786560058",325042.952,4840733.82,-79.2486190796,43.708278656,37586.0,55,POINT (-79.2486190795898 43.7082786560058)
55,Midland Danforth Book Mobile Stop (TPL),"Mondays, weekly, 5:30-7pm. The Toronto Public Library operates two bookmobiles which serve areas that are not close to library branches.The bookmobile carries a complete range of items similar to what is offered in library branches.",,http://www.torontopubliclibrary.ca/bookmobiles/,Library,"-79.253095,43.725452",324676.57,4842640.586,-79.253095,43.725452,37587.0,56,POINT (-79.253095 43.725452)
56,Fool's Paradise,"Fool's Paradise is a house of Canadian artist Doris McCarthy. This property sits on the ecologically sensitive, geologically significant Scarborough Bluffs.  Doris McCarthy purchased the easternmost part of Springbank, which her morhter called 'Fool's Pa",,,Heritage,"-79.21696, 43.72655",327587.43,4842771.811,-79.21696,43.72655,37883.0,57,POINT (-79.21696 43.72655)
57,Passage (Sculpture),"Passage is a sculpture which honours Doris McCarthy and the Scarborough Bluffs, the second in a series of sculptures by Marlene Hilton Moore to mark people in place across Canada.ÿ Doris McCarthy is singular in her achievements as an artist and her passi",,,Public Art,"-79.213701,43.727177",327849.754,4842842.362,-79.213701,43.727177,37590.0,58,POINT (-79.213701 43.727177)
58,Port Union CRC,"Port Union is a small but vibrant recreation centre offering a wide range of activities for all, from tots to older adults. The Recreation Centre boasts a well equipped fitness centre, library, skateboard park, gymnatorium/hall and older adults lounge to",,http://www1.toronto.ca/parks/prd/facilities/complex/883/,Community,5450 Lawrence Ave E,333738.755,4848696.362,-79.140291245,43.779664586,37897.0,59,POINT (-79.140291245 43.779664586)
59,West Rouge CC,"West Rouge CC has a long history in East Scarborough. The building was the clubhouse for a former golf course. Now being apart of the City of Toronto, WRCC is prime site for rental use of the Ballroom which is used for wedding receptions, pre-teen dances",,http://www1.toronto.ca/parks/prd/facilities/complex/584/,Community,270 Rouge Hills Dr,334954.977,4850082.299,-79.125104505,43.792090511,37898.0,60,POINT (-79.125104505 43.792090511)
60,Crossroads of the Danforth BIA Office,"The Crossroads is a growing neighbourhood along the Danforth Avenue between Victoria Park and Warden Avenue. Known as the automotive ares, today the Crossroads boasts a healthy mix of shops, restaurants, and health, beauty and wellness businesses as well",,http://www.codbia.ca/,Community,3224 Danforth Avenue,322313.311,4838997.474,-79.2825502373,43.6927276718,37899.0,61,POINT (-79.2825502373029 43.6927276718455)
61,Tudor Birch Grove (Mural),"by Sara Collard. A beautiful mural commission by our design contest winner Sara Collard, assisted by Meaghann McLeod, one of our Leadership Training 2012 graduates. The project will continue to add murals with community input and support in 2013.",,www.muralroutes.com,Public Art,"-79.2690200805664,43.6893348693847",323404.735,4838624.433,-79.2690200806,43.6893348694,37575.0,62,POINT (-79.26902008056641 43.6893348693847)
62,Bank of Commerce/Council Chambers,This building is the oldest building standing where the Scarborough councils met in the second storey  from 1922-late 1940s.,,,Heritage,1660 Kingston Road,323748.91,4838890.626,-79.2647447175,43.6917306564,37882.0,63,POINT (-79.2647447174941 43.6917306564455)
63,Wheels on the Danforth,Wheels on Danforth is an annual summer community festival that features car shows. The Crossroads is truly a hidden gem at the east end of Danforth Avenue. Visit the BIA office at 3224 Danforth Avenue for information and maps.,,http://wheelsonthedanforth.ca/,Community,"-79.281633,43.692713",322386.993,4838996.993,-79.281633,43.692713,37577.0,64,POINT (-79.281633 43.692713)
64,Rosetta McClain Gardens,"Formal gardens with specially designed braille signage, raised planters, varied texture pathways and ramps to accommodate visitors of varied abilities. The park is filled with rose gardens and a rock fountain surrounded by a pergola. It has spectacular v",,http://www1.toronto.ca/parks/prd/facilities/complex/19/,Park,"-79.255545,43.696506",324488.685,4839424.261,-79.255545,43.696506,37579.0,65,POINT (-79.255545 43.696506)
65,Scarborough War Memorial (Memorial),Scarborough War Memorial was constructed in 1921 with limestone and bronze. The artist is unknown.,,,Public Art,"-79.2537689208984,43.7026634216308",324629.797,4840108.746,-79.2537689209,43.7026634216,37580.0,66,POINT (-79.25376892089839 43.7026634216308)
66,Community Tansitions (Mural),"Community Transitions depicts Scarborough's transition from a farming community to an urban setting, an idea which was derived from the suggestions of community members. Artists: Peter Adas and Amann Merali",,muralroutes.com/towns/heritagetrail/youth.htm,Public Art,"-79.251959,43.706069",324774.526,4840487.523,-79.251959,43.706069,37581.0,67,POINT (-79.251959 43.706069)
67,R.C. Harris Water Filtration Plant,R.C. Harris Water Filtration Plant is designated as national historic site and is the largest in Toronto.,,,Heritage,2701 Queen Street East,322589.571,4836960.422,-79.2791897892,43.6743851983,37878.0,68,POINT (-79.2791897891768 43.6743851983192)
68,Bauhaus Dwelling,This house is the only house in Ontario that is designed in early 20th century Bauhaus architectural style.,,,Heritage,236 Warden Avenue,323172.086,4838617.757,-79.2719094705,43.6892891284,37879.0,69,POINT (-79.271909470545 43.6892891283915)
69,Totem Pole (Meadowvale Public School),"There is a totem pole on the ground of Meadowvale Public School. It has been there for more than 50 years and nothing is known. There was a time capsule buried, however, no information was retrived because documents were covered with wax.",,,Heritage,761 Meadowvale Road,331817.739,4850448.895,-79.164068184,43.795511013,37880.0,70,POINT (-79.164068184 43.795511013)
70,Scarborough Village Book Mobile Stop (TPL),"Mondays, weekly, 5:30-7pm. Markington Square Shopping Centre, Eglinton Avenue East and Markham Road, Southeast corner. It parks right beside the Beer Store.The Toronto Public Library operates two bookmobiles which serve areas that are not close to librar",,http://www.torontopubliclibrary.ca/bookmobiles/,Library,3205 Eglinton Avenue East,327491.584,4844509.85,-79.218076677,43.742197513,37881.0,71,POINT (-79.218076677 43.742197513)
71,Highland Creek Heritage Festival,Highland Creek Heritage Festival is an annual community festival for the eastern communities of Scarborough. It features the famous parade and all day activities.,,http://www.hchf.ca,Community,364 Old Kingston Rd,331309.514,4849133.484,-79.1704517381,43.7836978982,38814.0,72,POINT (-79.1704517380566 43.7836978982403)
72,Port Union Waterfront Festival,"The Port Union Waterfront Festival is a collaborative, community based festival, organized by local groups in southeast Scarborough. Everyone is welcome to share this very special day in our community.",,http://www.waterfrontpark.ca/,Community,105 Bridgend Street,334387.314,4848583.354,-79.1322434204,43.7786304496,37892.0,73,POINT (-79.1322434203969 43.7786304496365)
73,Boys and Girls Club of East Scarborough,"The Boys & Girls Club of East Scarborough has been serving our community since 1956. Each year the Club provides service to over 7,000 children and youth in over15 locations throughout the East Scarborough commnuity. These programs include licenced child",,http://www.esbgc.org/,Community,100 Galloway Road,329477.861,4846208.958,-79.1933416857,43.7574370569,37893.0,74,POINT (-79.19334168566959 43.7574370568756)
74,Variety Village,"For over 60 years Variety Village's goal has been to improve the quality of life of all people, regardless of their abilities. By offering specialized programs and services, Variety Village create a level playing field without barriers, intimidation or o",,http://www.varietyvillage.ca/,Community,3701 Danforth Avenue,324352.8,4839654.886,-79.257225699,43.6985940907,37894.0,75,POINT (-79.2572256990061 43.6985940907456)
75,Scarborough Village RC,"A City of Toronto facility located in a priority neighbourhood, offering a wide range of recreational programs and a variety of opportunities for everyone from pre-school to older adults. The only community centre in Scarborough that has a theatre.",,http://www1.toronto.ca/parks/prd/facilities/complex/743/,Community,3600 Kingston Road,327598.615,4844265.107,-79.216758124,43.739991316,37895.0,76,POINT (-79.21675812399999 43.739991316)
76,Heron Park CC,"This 4.7 hectare park on Lawrence Avenue East east of Morningside Road features a lighted ball diamond, five lighted tennis courts, a splash pad and a children's playground. Connected to the park is Heron Park Community Recreation Centre.",,http://www1.toronto.ca/parks/prd/facilities/complex/633/,Community,292 Manse Rd,330793.529,4847483.451,-79.176938353,43.768855608,37896.0,77,POINT (-79.176938353 43.768855608)
77,Spooner's Garage (Mural),"The unique ""double"" mural, painted on facing walls by Phillip Woolf, depicts two eras in the life of Spooner's Garage. Built in 1926 and rebuilt in 1947, the garage was located on the south side of Kingston Road in Cliffside Village. Owner Art Spooner ke",,http://www.muralroutes.com/towns/heritagetrail/heritage.htm,Public Art,2340 Kingston Road,324829.075,4840594.778,-79.251278162,43.707032964,37821.0,78,POINT (-79.25127816200001 43.707032964)
78,The Bluffs as Viewed by Elizabeth Simcoe c. 1793 (Mural),"Elizabeth Simcoe, wife of Lieutenant-Governor John Graves Simcoe was so impressed with the sight of the Bluffs as she saw them from a small boat, that she convinced her husband to name the area after a town in England with similar cliffs. She wrote in he",,http://www.muralroutes.com/towns/heritagetrail/heritage.htm,Public Art,2384 Kingston Road,324870.487,4840708.973,-79.2507632508,43.7080683649,37822.0,79,POINT (-79.2507632508227 43.7080683648641)
79,Crucified Again,"The Masaryk Memorial Institute took patronage of the monument and donated a piece of Masaryktown property to the project. The chosen piece was discovered by the famous dissident, poet and singer Karel Kryl during his Canadian tour in a Winnipeg studio of",,http://masaryktown.ca/?page_id=437,Public Art,450 Scarborough Golf Club Road,327655.001,4845806.116,-79.215992997,43.753860323,37827.0,80,POINT (-79.215992997 43.753860323)
80,East Scarborough Community Choir,Scarborough-East Community Multicultural & Gospel (SECMG) provides a platform for young individuals living in KGO to express their musical talents and passions by participating in song and performance. Choir members learn and perform a wide array of popu,,http://www.thestorefront.org/what-were-working-on/neighbourhood-trust/secmg-choir/,Creative,100 Galloway Road,329477.861,4846208.958,-79.1933416857,43.7574370569,37829.0,81,POINT (-79.19334168566959 43.7574370568756)
